Country,Year,PlasticEmittedToOcean
Albania,2019,1565
Algeria,2019,5774
Angola,2019,860
Antigua and Barbuda,2019,2
Argentina,2019,4137
Australia,2019,32
Bahamas,2019,20
Bahrain,2019,0
Bangladesh,2019,24640
Barbados,2019,45
Belgium,2019,34
Belize,2019,374
Benin,2019,1639
Bosnia and Herzegovina,2019,6
Brazil,2019,37799
Brunei,2019,134
Bulgaria,2019,7
Burkina Faso,2019,0
Cambodia,2019,1113
Cameroon,2019,10671
Canada,2019,238
Cape Verde,2019,0
Chile,2019,322
China,2019,70707
Colombia,2019,431
Comoros,2019,0
Congo,2019,676
Costa Rica,2019,450
Cote d'Ivoire,2019,4784
Croatia,2019,224
Cyprus,2019,3
Democratic Republic of Congo,2019,420
Denmark,2019,9
Djibouti,2019,4
Dominica,2019,53
Dominican Republic,2019,6276
East Timor,2019,715
Ecuador,2019,1136
Egypt,2019,2471
El Salvador,2019,808
Equatorial Guinea,2019,405
Eritrea,2019,48
Estonia,2019,12
Fiji,2019,365
Finland,2019,0
France,2019,235
French Guiana,2019,7
Gabon,2019,445
Gambia,2019,421
Georgia,2019,3
Germany,2019,134
Ghana,2019,4185
Greece,2019,216
Grenada,2019,130
Guadeloupe,2019,4
Guatemala,2019,7142
Guinea,2019,2347
Guinea-Bissau,2019,247
Guyana,2019,1246
Haiti,2019,6929
Honduras,2019,2436
Hong Kong,2019,112
Iceland,2019,0
India,2019,126513
Indonesia,2019,56333
Iran,2019,928
Iraq,2019,67
Ireland,2019,115
Israel,2019,33
Italy,2019,414
Jamaica,2019,2334
Japan,2019,1835
Jordan,2019,1
Kazakhstan,2019,13
Kenya,2019,259
Kiribati,2019,0
Kuwait,2019,7
Latvia,2019,9
Lebanon,2019,684
Lesotho,2019,0
Liberia,2019,2638
Libya,2019,879
Lithuania,2019,7
Macau,2019,341
Madagascar,2019,775
Malaysia,2019,73098
Maldives,2019,0
Malta,2019,0
Marshall Islands,2019,0
Martinique,2019,22
Mauritania,2019,127
Mauritius,2019,0
Mexico,2019,3512
Micronesia,2019,37
Monaco,2019,0
Montenegro,2019,0
Morocco,2019,1800
Mozambique,2019,2544
Myanmar,2019,2544
Namibia,2019,2
Netherlands,2019,271
New Zealand,2019,68
Nicaragua,2019,1465
Nigeria,2019,18640
North Korea,2019,50
Norway,2019,0
Oman,2019,1
Pakistan,2019,873
Palau,2019,7
Palestine,2019,118
Panama,2019,5237
Papua New Guinea,2019,3059
Peru,2019,259
Philippines,2019,356371
Poland,2019,29
Portugal,2019,76
Puerto Rico,2019,71
Qatar,2019,0
Reunion,2019,0
Romania,2019,80
Russia,2019,542
Saint Kitts and Nevis,2019,1
Saint Lucia,2019,449
Saint Martin,2019,0
Saint Vincent and the Grenadines,2019,81
Samoa,2019,0
Sao Tome and Principe,2019,77
Saudi Arabia,2019,3
Senegal,2019,169
Seychelles,2019,0
Sierra Leone,2019,3624
Singapore,2019,164
Sint Maarten,2019,0
Slovakia,2019,0
Slovenia,2019,11
Solomon Islands,2019,100
Somalia,2019,2
South Africa,2019,4266
South Korea,2019,387
Spain,2019,235
Sri Lanka,2019,9654
Sudan,2019,106
Suriname,2019,1677
Sweden,2019,36
Syria,2019,44
Taiwan,2019,531
Tanzania,2019,5785
Thailand,2019,22806
Togo,2019,436
Tonga,2019,0
Trinidad and Tobago,2019,3557
Tunisia,2019,688
Turkey,2019,14329
Ukraine,2019,859
United Arab Emirates,2019,14
United Kingdom,2019,703
United States,2019,2431
Uruguay,2019,998
Venezuela,2019,5988
Vietnam,2019,28221
Western Sahara,2019,38
Yemen,2019,252
Zimbabwe,2019,0
