Region,Year,MismanagedPlastic,PlasticEmittedToOcean,PlasticEmittedPerCapita
Africa,2019,,78252.0,0.059822761
Americas (excl. USA),2000,5291803.0,,
Americas (excl. USA),2001,5561646.0,,
Americas (excl. USA),2002,5928127.0,,
Americas (excl. USA),2003,6267913.0,,
Americas (excl. USA),2004,6659430.0,,
Americas (excl. USA),2005,6974482.0,,
Americas (excl. USA),2006,7383156.0,,
Americas (excl. USA),2007,7809969.0,,
Americas (excl. USA),2008,7904060.0,,
Americas (excl. USA),2009,8187670.0,,
Americas (excl. USA),2010,8665047.0,,
Americas (excl. USA),2011,8984177.0,,
Americas (excl. USA),2012,9241368.0,,
Americas (excl. USA),2013,9541549.0,,
Americas (excl. USA),2014,9731705.0,,
Americas (excl. USA),2015,10219736.0,,
Americas (excl. USA),2016,10295320.0,,
Americas (excl. USA),2017,10447519.0,,
Americas (excl. USA),2018,10687745.0,,
Americas (excl. USA),2019,10889096.0,,
Asia,2019,,793298.0,0.172404698
Asia (excl. China and India),2000,6338147.0,,
Asia (excl. China and India),2001,6777017.0,,
Asia (excl. China and India),2002,7325337.0,,
Asia (excl. China and India),2003,7859445.0,,
Asia (excl. China and India),2004,8460540.0,,
Asia (excl. China and India),2005,8992124.0,,
Asia (excl. China and India),2006,9635957.0,,
Asia (excl. China and India),2007,10315499.0,,
Asia (excl. China and India),2008,10653335.0,,
Asia (excl. China and India),2009,11206513.0,,
Asia (excl. China and India),2010,12033065.0,,
Asia (excl. China and India),2011,12696793.0,,
Asia (excl. China and India),2012,13292359.0,,
Asia (excl. China and India),2013,13953078.0,,
Asia (excl. China and India),2014,14588460.0,,
Asia (excl. China and India),2015,15390881.0,,
Asia (excl. China and India),2016,16068582.0,,
Asia (excl. China and India),2017,16874328.0,,
Asia (excl. China and India),2018,17775710.0,,
Asia (excl. China and India),2019,18150982.0,,
EU-27,2019,,2157.0,
Europe,2000,5424551.0,,
Europe,2001,5434649.0,,
Europe,2002,5502827.0,,
Europe,2003,5527382.0,,
Europe,2004,5565384.0,,
Europe,2005,5527721.0,,
Europe,2006,5528836.0,,
Europe,2007,5517138.0,,
Europe,2008,5300543.0,,
Europe,2009,5178639.0,,
Europe,2010,5154416.0,,
Europe,2011,5033360.0,,
Europe,2012,4881828.0,,
Europe,2013,4741392.0,,
Europe,2014,4527848.0,,
Europe,2015,4356649.0,,
Europe,2016,4174393.0,,
Europe,2017,4016212.0,,
Europe,2018,3831498.0,,
Europe,2019,3799391.0,5832.0,0.007805317
Middle East & North Africa,2000,3121883.0,,
Middle East & North Africa,2001,3263276.0,,
Middle East & North Africa,2002,3452754.0,,
Middle East & North Africa,2003,3628668.0,,
Middle East & North Africa,2004,3829336.0,,
Middle East & North Africa,2005,3991293.0,,
Middle East & North Africa,2006,4198402.0,,
Middle East & North Africa,2007,4414690.0,,
Middle East & North Africa,2008,4472405.0,,
Middle East & North Africa,2009,4621749.0,,
Middle East & North Africa,2010,4885492.0,,
Middle East & North Africa,2011,5072754.0,,
Middle East & North Africa,2012,5244840.0,,
Middle East & North Africa,2013,5430095.0,,
Middle East & North Africa,2014,5599134.0,,
Middle East & North Africa,2015,5785391.0,,
Middle East & North Africa,2016,6118184.0,,
Middle East & North Africa,2017,6342768.0,,
Middle East & North Africa,2018,6506718.0,,
Middle East & North Africa,2019,6675025.0,,
North America,2019,,44067.0,0.120204257
Oceania,2000,50274.0,,
Oceania,2001,53953.0,,
Oceania,2002,58243.0,,
Oceania,2003,62439.0,,
Oceania,2004,66976.0,,
Oceania,2005,71014.0,,
Oceania,2006,75621.0,,
Oceania,2007,80384.0,,
Oceania,2008,83206.0,,
Oceania,2009,87144.0,,
Oceania,2010,92364.0,,
Oceania,2011,97318.0,,
Oceania,2012,99739.0,,
Oceania,2013,105509.0,,
Oceania,2014,107727.0,,
Oceania,2015,111547.0,,
Oceania,2016,115241.0,,
Oceania,2017,120137.0,,
Oceania,2018,122146.0,,
Oceania,2019,124666.0,3631.0,0.086189708
South America,2019,,54000.0,
Sub-Saharan Africa,2000,3612815.0,,
Sub-Saharan Africa,2001,3877820.0,,
Sub-Saharan Africa,2002,4225762.0,,
Sub-Saharan Africa,2003,4561808.0,,
Sub-Saharan Africa,2004,4950097.0,,
Sub-Saharan Africa,2005,5284911.0,,
Sub-Saharan Africa,2006,5708091.0,,
Sub-Saharan Africa,2007,6157719.0,,
Sub-Saharan Africa,2008,6325124.0,,
Sub-Saharan Africa,2009,6664882.0,,
Sub-Saharan Africa,2010,7190390.0,,
Sub-Saharan Africa,2011,7589907.0,,
Sub-Saharan Africa,2012,7947111.0,,
Sub-Saharan Africa,2013,8336550.0,,
Sub-Saharan Africa,2014,8664041.0,,
Sub-Saharan Africa,2015,9147928.0,,
Sub-Saharan Africa,2016,9381436.0,,
Sub-Saharan Africa,2017,9643507.0,,
Sub-Saharan Africa,2018,9966291.0,,
Sub-Saharan Africa,2019,10251547.0,,
World,2000,40188156.0,,
World,2001,42188308.0,,
World,2002,44852640.0,,
World,2003,47299584.0,,
World,2004,50079032.0,,
World,2005,52273580.0,,
World,2006,55080184.0,,
World,2007,57966768.0,,
World,2008,58525184.0,,
World,2009,60345316.0,,
World,2010,63715768.0,,
World,2011,66033864.0,,
World,2012,67818944.0,,
World,2013,69683336.0,,
World,2014,71341824.0,,
World,2015,73313568.0,,
World,2016,74534832.0,,
World,2017,75792440.0,,
World,2018,76644240.0,,
World,2019,78259200.0,979458.0,0.126980239
