Country,Year,PlasticEmittedPerCapita
Albania,2019,0.543214162
Algeria,2019,0.134113767
Angola,2019,0.027022781
Antigua and Barbuda,2019,0.020618557
Argentina,2019,0.09238293
Australia,2019,0.00126969
Bahamas,2019,0.051413882
Bahrain,2019,0.0
Bangladesh,2019,0.151122996
Barbados,2019,0.156794425
Belgium,2019,0.002946529
Belize,2019,0.958974359
Benin,2019,0.138886535
Bosnia and Herzegovina,2019,0.001817631
Brazil,2019,0.179099739
Brunei,2019,0.309468822
Bulgaria,2019,0.001
Burkina Faso,2019,0.0
Cambodia,2019,0.067507733
Cameroon,2019,0.412389859
Canada,2019,0.006361765
Cape Verde,2019,0.0
Chile,2019,0.016990291
China,2019,0.049314957
Colombia,2019,0.00856195
Comoros,2019,0.0
Congo,2019,0.125627207
Costa Rica,2019,0.089144216
Cote d'Ivoire,2019,0.186024808
Croatia,2019,0.054237288
Cyprus,2019,0.002502085
Democratic Republic of Congo,2019,0.004839211
Denmark,2019,0.001559252
Djibouti,2019,0.004106776
Dominica,2019,0.736111111
Dominican Republic,2019,0.584411956
East Timor,2019,0.552977572
Ecuador,2019,0.065385058
Egypt,2019,0.024614496
El Salvador,2019,0.125193678
Equatorial Guinea,2019,0.298672566
Eritrea,2019,0.013726051
Estonia,2019,0.009049774
Fiji,2019,0.41011236
Finland,2019,0.0
France,2019,0.003608168
French Guiana,2019,0.024054983
Gabon,2019,0.20478601
Gambia,2019,0.179301533
Georgia,2019,0.000750563
Germany,2019,0.001604464
Ghana,2019,0.13758301
Greece,2019,0.020624463
Grenada,2019,1.160714286
Guadeloupe,2019,0.01
Guatemala,2019,0.406234003
Guinea,2019,0.183775742
Guinea-Bissau,2019,0.128578865
Guyana,2019,1.591315453
Haiti,2019,0.615200213
Honduras,2019,0.249948697
Hong Kong,2019,0.015061861
Iceland,2019,0.0
India,2019,0.092587331
Indonesia,2019,0.208158135
Iran,2019,0.01119232
Iraq,2019,0.001704401
Ireland,2019,0.02355592
Israel,2019,0.003873694
Italy,2019,0.006837325
Jamaica,2019,0.791723202
Japan,2019,0.014464764
Jordan,2019,9.9e-05
Kazakhstan,2019,0.000700771
Kenya,2019,0.004926389
Kiribati,2019,0.0
Kuwait,2019,0.001663894
Latvia,2019,0.004719455
Lebanon,2019,0.099766628
Lesotho,2019,0.0
Liberia,2019,0.534332591
Libya,2019,0.129703409
Lithuania,2019,0.002536232
Madagascar,2019,0.028736698
Malaysia,2019,2.287887324
Maldives,2019,0.0
Malta,2019,0.0
Marshall Islands,2019,0.0
Martinique,2019,0.058510638
Mauritania,2019,0.028060097
Mauritius,2019,0.0
Mexico,2019,0.027528689
Monaco,2019,0.0
Montenegro,2019,0.0
Morocco,2019,0.049352928
Mozambique,2019,0.08377791
Myanmar,2019,0.047071885
Namibia,2019,0.000801603
Netherlands,2019,0.015850734
New Zealand,2019,0.014217019
Nicaragua,2019,0.223800794
Nigeria,2019,0.092752931
North Korea,2019,0.001948103
Norway,2019,0.0
Oman,2019,0.000201005
Pakistan,2019,0.004031122
Palau,2019,0.388888889
Palestine,2019,0.023690022
Panama,2019,1.233396138
Papua New Guinea,2019,0.348564266
Peru,2019,0.007966779
Philippines,2019,3.296160641
Poland,2019,0.000765414
Portugal,2019,0.007432036
Puerto Rico,2019,0.024207296
Qatar,2019,0.0
Reunion,2019,0.0
Romania,2019,0.004131164
Russia,2019,0.003715586
Saint Kitts and Nevis,2019,0.018867925
Saint Lucia,2019,2.453551913
Saint Vincent and the Grenadines,2019,0.72972973
Samoa,2019,0.0
Sao Tome and Principe,2019,0.358139535
Saudi Arabia,2019,8.75e-05
Senegal,2019,0.010370643
Seychelles,2019,0.0
Sierra Leone,2019,0.463842314
Singapore,2019,0.028256375
Slovakia,2019,0.0
Slovenia,2019,0.005291005
Solomon Islands,2019,0.149253731
Somalia,2019,0.000129509
South Africa,2019,0.072850849
South Korea,2019,0.007554905
Spain,2019,0.005028136
Sri Lanka,2019,0.452729319
Sudan,2019,0.002475883
Suriname,2019,2.886402754
Sweden,2019,0.003587086
Syria,2019,0.002577622
Taiwan,2019,0.022335324
Tanzania,2019,0.099732782
Thailand,2019,0.327550053
Togo,2019,0.053947043
Tonga,2019,0.0
Trinidad and Tobago,2019,2.549820789
Tunisia,2019,0.058828559
Turkey,2019,0.171748771
Ukraine,2019,0.01952539
United Arab Emirates,2019,0.001432811
United Kingdom,2019,0.010410188
United States,2019,0.007387598
Uruguay,2019,0.288272675
Venezuela,2019,0.209987376
Vietnam,2019,0.292560801
Western Sahara,2019,0.065292096
Yemen,2019,0.008641383
Zimbabwe,2019,0.0
